DCode,Name_G,Name_E,StateID
02,NORTH DISTRICT,NORTH DISTRICT,07
06,CENTRAL DISTRICT,CENTRAL DISTRICT,07
09,SOUTH DISTRICT,SOUTH DISTRICT,07
05,NEW DELHI DISTRICT,NEW DELHI DISTRICT,07
07,WEST DISTRICT,WEST DISTRICT,07
03,NORTH EAST DISTRICT,NORTH EAST DISTRICT,07
04,EAST DISTRICT,EAST DISTRICT,07
01,NORTH WEST DISTRICT,NORTH WEST DISTRICT,07
08,SOUTH EAST DISTRICT,SOUTH EAST DISTRICT,07
10,SHAHDARA,SHAHDARA,07
11,SHAHDARA DISTRICT,SHAHDARA DISTRICT,07
05,DEOGHAR,DEOGHAR,20
09,DHANBAD,DHANBAD,20
01,GARHWA,GARHWA,20
03,KODARMA,KODERMA,20
14,LATEHAR,LATEHAR,20
13,PALAMU,PALAMU,20
19,RANCHI,RANCHI,20
10,BOKARO,BOKARO,20
02,CHATRA,CHATRA,20
12,PURBI SINGHBHUM,EAST SINGHBHUM,20
04,GIRIDIH,GIRIDIH,20
21,GUMLA,GUMLA,20
15,HAZARIBAGH,HAZARIBAGH,20
20,KHUNTI,KHUNTI,20
11,LOHARDAGA,LOHARDAGA,20
16,RAMGARH,RAMGARH,20
22,SIMDEGA,SIMDEGA,20
17,DUMKA,DUMKA,20
06,GODDA,GODDA,20
18,JAMTARA,JAMTARA,20
08,PAKUR,PAKUR,20
07,SAHIBGANJ,SAHIBGANJ,20
23,PASHCHIMI SINGHBHUM,WEST SINGHBHUM,20
24,SERAIKELLA KHARSAWAN,SERAIKELLA KHARSAWAN,20
48,ALIRAJPUR,ALIRAJPUR,23
44,ANUPPUR,ANUPPUR,23
42,ASHOKNAGAR,ASHOKNAGAR,23
40,BALAGHAT,BALAGHAT,23
24,BARWANI,BARWANI,23
30,BETUL,BETUL,23
3,BHIND,BHIND,23
27,BHOPAL,BHOPAL,23
50,BURHANPUR,BURHANPUR,23
8,CHHATTARPUR,CHHATTARPUR,23
38,CHHINDWARA,CHHINDWARA,23
11,DAMOH,DAMOH,23
5,DATIA,DATIA,23
20,DEWAS,DEWAS,23
21,DHAR,DHAR,23
36,DINDORI,DINDORI,23
49,EAST NIMAR,EAST NIMAR,23
41,GUNA,GUNA,23
4,GWALIOR,GWALIOR,23
31,HARDA,HARDA,23
32,HOSHANGABAD,HOSHANGABAD,23
22,INDORE,INDORE,23
34,JABALPUR,JABALPUR,23
47,JHABUA,JHABUA,23
33,KATNI,KATNI,23
37,MANDLA,MANDLA,23
16,MANDSAUR,MANDSAUR,23
2,MORENA,MORENA,23
35,NARSIMHAPUR,NARSIMHAPUR,23
15,NEEMUCH,NEEMUCH,23
9,PANNA,PANNA,23
29,RAISEN,RAISEN,23
25,RAJGARH,RAJGARH,23
17,RATLAM,RATLAM,23
13,REWA,REWA,23
10,SAGAR,SAGAR,23
12,SATNA,SATNA,23
28,SEHORE,SEHORE,23
39,SEONI,SEONI,23
43,SHAHDOL,SHAHDOL,23
19,SHAJAPUR,SHAJAPUR,23
1,SHEOPUR,SHEOPUR,23
6,SHIVPURI,SHIVPURI,23
45,SIDHI,SIDHI,23
46,SINGRAULI,SINGRAULI,23
7,TIKAMGARH,TIKAMGARH,23
18,UJJAIN,UJJAIN,23
14,UMARIA,UMARIA,23
26,VIDISHA,VIDISHA,23
23,WEST NIMAR,WEST NIMAR,23
15,ANGUL,ANGUL,21
24,BALANGIR,BALANGIR,21
8,BALASORE,BALASORE,21
1,BARGARH,BARGARH,21
9,BHADRAK,BHADRAK,21
22,BOUDH,BOUDH,21
12,CUTTACK,CUTTACK,21
13,DEOGARH ,DEOGARH ,21
14,DHENKANAL,DHENKANAL,21
20,GAJAPATI,GAJAPATI,21
19,GANJAM,GANJAM,21
11,JAGATSINGHPUR ,JAGATSINGHPUR ,21
43,JAJPUR,JAJPUR,21
2,JHARSUGUDA,JHARSUGUDA,21
26,KALAHANDI,KALAHANDI,21
21,KANDHAMAL,KANDHAMAL,21
10,KENDRAPARA,KENDRAPARA,21
6,KEONJHAR,KEONJHAR,21
17,KHURDA,KHURDA,21
29,KORAPUT,KORAPUT,21
30,MALKANGIRI,MALKANGIRI,21
7,MAYURBHANJ,MAYURBHANJ,21
28,NABARANGAPUR,NABARANGAPUR,21
16,NAYAGARH,NAYAGARH,21
25,NUAPADA,NUAPADA,21
18,PURI,PURI,21
4,RAYAGADA,RAYAGADA,21
3,SAMBALPUR,SAMBALPUR,21
23,SONEPUR,SONEPUR,21
5,SUNDARGARH,SUNDARGARH,21
15,AGRA,AGRA,09
12,ALIGARH,ALIGARH,09
44,ALLAHABAD,ALLAHABAD,09
47,AMBEDHKAR NAGAR,AMBEDHKAR NAGAR,09
78,AMROHA,AMROHA,09
31,AURAIYA,AURAIYA,09
60,AZAMGARH,AZAMGARH,09
79,BADAUN,BADAUN,09
8,BAGHPAT,BAGHPAT,09
49,BAHRAICH,BAHRAICH,09
62,BALLIA,BALLIA,09
51,BALRAMPUR,BALRAMPUR,09
39,BANDA,BANDA,09
45,BARABANKI,BARABANKI,09
19,BAREILLY,BAREILLY,09
54,BASTI,BASTI,09
3,BIJNOR,BIJNOR,09
11,BULANDSHAHR,BULANDSHAHR,09
70,C S NAGAR,C S NAGAR,09
65,CHANDAULI,CHANDAULI,09
40,CHITRAKOOT,CHITRAKOOT,09
59,DEORIA,DEORIA,09
80,ETAH,ETAH,09
30,ETAWAH,ETAWAH,09
46,FAIZABAD,FAIZABAD,09
28,FARRUKHABAD,FARRUKHABAD,09
41,FATEHPUR,FATEHPUR,09
16,FIROZABAD,FIROZABAD,09
64,GAZIPUR,GAZIPUR,09
10,GB NAGAR,GB NAGAR,09
9,GHAIZABAD,GHAIZABAD,09
52,GONDA,GONDA,09
57,GORAKHPUR,GORAKHPUR,09
37,HAMIRPUR,HAMIRPUR,09
71,HAPUR,HAPUR,09
24,HARDOI,HARDOI,09
72,HATHRAS,HATHRAS,09
34,JALAUN,JALAUN,09
63,JAUNPUR,JAUNPUR,09
35,JHANSI,JHANSI,09
29,KANNAUJ,KANNAUJ,09
32,KANPUR DEHAT,KANPUR DEHAT,09
33,KANPUR NAGAR,KANPUR NAGAR,09
73,KASGANJ,KASGANJ,09
43,KAUSHAMBI,KAUSHAMBI,09
58,KUSHINAGAR,KUSHINAGAR,09
74,LAKHIMPUR KHERI,LAKHIMPUR KHERI,09
36,LALITPUR,LALITPUR,09
26,LUCKNOW,LUCKNOW,09
13,MAHARAJGANJ,MAHARAJGANJ,09
38,MAHOBA,MAHOBA,09
17,MAINPURI,MAINPURI,09
14,MATHURA,MATHURA,09
61,MAU,MAU,09
7,MEERUT,MEERUT,09
68,MIRZAPUR,MIRZAPUR,09
4,MORADABAD,MORADABAD,09
2,MUZAFFARNAGAR,MUZAFFARNAGAR,09
20,PILIBHIT,PILIBHIT,09
42,PRATAPGARH,PRATAPGARH,09
27,RAIBAREILLY,RAIBAREILLY,09
5,RAMPUR,RAMPUR,09
1,SAHARANPUR,SAHARANPUR,09
56,SAMBHAL,SAMBHAL,09
55,SANT KABIR NAGAR,SANT KABIR NAGAR,09
21,SHAHJANPUR,SHAHJANPUR,09
77,SHAMLI,SHAMLI,09
50,SHARAWASTI,SHARAWASTI,09
53,SIDDHARTH NAGAR,SIDDHARTH NAGAR,09
23,SITAPUR,SITAPUR,09
69,SONEBHADRA,SONEBHADRA,09
67,SRN BHADOHI,SRN BHADOHI,09
48,SULTANPUR,SULTANPUR,09
25,UNNAO,UNNAO,09
66,VARANASI,VARANASI,09
